=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.09.23 18:04:41 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
FastIMU calibration & data example
Keep IMU level.
Calibration done!
Accel biases X/Y/Z: 
0.02, 0.06, 0.02
Gyro biases X/Y/Z: 
1.29, 1.58, 0.08
Setup finished
SampleType: 1 / 2
NumSample: 1 / 30
Press return to start next sample
... Start Reading Sample ...
0	2	2	-0.22	-0.22	-1.06	-56.23	75.48	-18.14
0	2	3	-0.19	-0.19	-1.03	-64.48	91.54	-17.58
0	2	4	-0.15	-0.07	-0.96	-70.35	106.17	-20.45
0	2	5	-0.15	-0.00	-0.96	-67.54	114.23	-26.89
0	2	6	-0.13	0.04	-0.96	-66.41	123.17	-32.39
0	2	7	-0.08	0.13	-0.91	-72.29	130.10	-35.14
0	2	8	-0.05	0.28	-0.82	-75.91	124.92	-32.45
0	2	9	-0.06	0.39	-0.81	-69.23	112.67	-23.76
0	2	10	-0.03	0.45	-0.80	-57.79	101.85	-21.89
0	2	11	-0.05	0.47	-0.76	-35.48	92.42	-31.08
0	2	12	-0.02	0.55	-0.74	-35.04	93.04	-23.76
0	2	13	-0.04	0.62	-0.75	-25.98	83.04	-20.83
0	2	14	-0.06	0.63	-0.82	-14.16	76.04	-12.89
0	2	15	-0.01	0.61	-0.82	-11.48	71.10	-14.39
0	2	16	0.02	0.67	-0.82	-18.98	60.35	-8.70
0	2	17	0.06	0.68	-0.85	-16.66	43.17	-1.83
0	2	18	0.07	0.65	-0.86	-10.54	20.92	-9.58
0	2	19	0.04	0.63	-0.84	-8.29	9.60	-11.45
0	2	20	0.03	0.62	-0.79	-5.29	1.85	-11.83
0	2	21	0.00	0.63	-0.74	-1.16	-4.40	-8.26
0	2	22	-0.02	0.64	-0.74	5.46	-11.71	-0.33
0	2	23	-0.03	0.65	-0.76	10.71	-20.08	5.17
0	2	24	-0.03	0.65	-0.79	16.09	-32.71	8.67
0	2	25	-0.04	0.60	-0.80	22.34	-45.21	9.74
0	2	26	-0.04	0.57	-0.79	28.34	-53.33	11.05
0	2	27	-0.04	0.55	-0.80	33.71	-59.08	14.05
0	2	28	-0.02	0.53	-0.82	37.59	-66.33	17.05
0	2	29	-0.02	0.51	-0.83	39.96	-74.52	19.49
0	2	30	-0.04	0.47	-0.85	40.27	-81.21	25.61
0	2	31	-0.04	0.42	-0.88	44.27	-85.71	26.80
0	2	32	-0.06	0.36	-0.92	47.96	-89.40	23.24
0	2	33	-0.09	0.31	-0.94	49.59	-92.83	21.99
0	2	34	-0.11	0.26	-0.96	53.15	-95.65	19.86
0	2	35	-0.13	0.19	-0.97	56.40	-95.71	16.92
0	2	36	-0.14	0.12	-0.96	42.90	-86.08	12.36
0	2	37	-0.19	0.10	-0.95	38.46	-84.46	27.05
0	2	38	-0.15	0.11	-0.96	41.15	-84.33	29.49
0	2	39	-0.17	0.06	-0.97	40.40	-78.33	18.99
0	2	40	-0.17	0.00	-1.05	33.21	-68.71	14.61
0	2	41	-0.16	-0.03	-1.00	32.90	-70.90	0.30
0	2	42	-0.23	-0.05	-1.04	37.34	-69.15	1.99
0	2	43	-0.22	-0.13	-1.00	31.90	-60.77	4.74
0	2	44	-0.22	-0.14	-0.99	23.34	-52.33	8.11
0	2	45	-0.23	-0.11	-0.99	23.27	-41.27	7.74
0	2	46	-0.23	-0.11	-1.01	23.90	-32.15	8.24
0	2	47	-0.22	-0.11	-1.03	21.84	-25.21	7.24
