SampleType	NumSample	numItem	accelX	accelY	accelZ	gyroX	gyroY	gyroZ
0	5	48	0.03	-0.09	-1.00	-1.03	-12.97	0.04
0	5	49	0.00	-0.06	-1.00	0.66	-16.47	0.11
0	6	0	-0.00	-0.00	-1.00	-0.15	-0.04	-0.14
0	6	1	0.00	-0.01	-1.00	-0.09	0.09	-0.08
0	6	2	0.00	-0.01	-1.00	-0.03	-0.04	0.04
0	6	3	-0.00	0.01	-1.00	-0.22	-0.60	0.04
0	6	4	0.00	-0.01	-1.00	-0.15	-1.85	0.11
0	6	5	0.01	-0.01	-1.00	-0.15	-5.22	0.11
0	6	6	0.02	-0.06	-1.00	-0.15	-13.97	0.23
0	6	7	0.03	-0.13	-1.00	-0.22	-11.72	0.42
0	6	8	0.04	-0.13	-1.00	0.10	-9.54	-0.39
0	6	9	0.01	-0.10	-1.00	-0.09	-11.72	0.36
0	6	10	0.01	-0.28	-1.00	-0.40	-19.97	-0.52
0	6	11	0.10	-0.43	-1.00	-0.97	2.03	-0.21
0	6	12	0.07	-0.15	-1.00	-0.34	7.40	1.67
0	6	13	0.06	-0.16	-1.00	0.47	6.03	0.42
0	6	14	0.06	-0.13	-1.00	2.22	-3.47	9.36
0	6	15	-0.01	-0.13	-1.01	-2.22	7.15	3.73
0	6	16	-0.01	-0.18	-0.99	-3.53	23.59	-7.77
0	6	17	0.03	-0.19	-1.00	2.91	38.03	-9.39
0	6	18	0.06	-0.11	-1.00	-0.90	54.09	0.67
0	6	19	0.04	0.01	-1.00	0.22	54.84	1.04
0	6	20	0.01	0.11	-1.00	2.28	46.15	4.67
0	6	21	-0.00	0.11	-1.00	0.35	39.90	4.61
0	6	22	-0.01	0.06	-1.00	-1.03	39.09	-3.27
0	6	23	-0.02	0.11	-1.00	-0.47	40.71	-4.21
0	6	24	-0.02	0.16	-1.00	-0.84	33.03	-2.83
0	6	25	0.01	0.20	-1.00	0.66	23.28	-0.08
0	6	26	-0.01	0.26	-1.00	-0.22	27.78	0.42
0	6	27	-0.04	0.33	-1.00	0.91	25.96	3.17
0	6	28	-0.07	0.36	-1.00	0.85	16.96	2.98
0	6	29	-0.05	0.32	-1.00	-0.72	10.53	-2.58
0	6	30	-0.01	0.28	-1.01	-1.15	7.34	0.29
0	6	31	-0.04	0.20	-1.00	-5.78	2.46	-0.27
0	6	32	-0.03	0.33	-1.00	-0.40	-5.16	0.61
0	6	33	-0.04	0.35	-1.00	-0.65	-12.41	-4.46
0	6	34	0.00	0.18	-1.00	0.72	-21.91	2.23
0	6	35	0.01	0.22	-1.00	0.91	-24.54	-0.64
0	6	36	-0.02	0.24	-1.00	-0.47	-33.35	-0.08
0	6	37	-0.03	0.14	-1.00	-0.78	-39.16	-0.46
0	6	38	0.01	0.02	-1.00	0.85	-40.29	-0.58
0	6	39	0.01	-0.04	-1.00	2.10	-41.47	0.42
0	6	40	0.03	-0.05	-1.00	1.47	-40.04	-0.89
0	6	41	0.03	-0.06	-1.00	0.03	-35.10	-1.71
0	6	42	0.03	-0.04	-1.00	-0.03	-28.35	-0.14
0	6	43	-0.00	-0.05	-1.00	-3.53	-17.04	2.11
0	6	44	0.01	-0.01	-1.00	0.03	-22.54	-1.27
0	6	45	0.03	-0.05	-1.00	2.28	-22.97	0.04
0	6	46	0.03	-0.10	-1.00	-1.53	-22.10	-0.83
0	6	47	0.01	-0.05	-1.00	-1.34	-18.10	-2.08
0	6	48	-0.01	-0.02	-0.99	0.47	-18.85	-0.02
0	6	49	0.04	-0.12	-1.00	1.35	-21.22	2.86
0	7	0	-0.00	-0.00	-1.00	-0.15	1.40	-0.02
0	7	1	-0.00	0.00	-1.00	-0.09	0.40	-0.14
0	7	2	-0.00	-0.00	-1.00	-0.09	-0.04	-0.02
0	7	3	-0.00	-0.01	-1.00	-0.15	-0.04	-0.08
0	7	4	-0.00	-0.01	-1.00	0.10	-1.29	-0.77
0	7	5	-0.00	-0.00	-1.00	0.22	-1.22	-1.08
0	7	6	0.00	-0.03	-1.00	0.22	-4.54	-1.21
0	7	7	0.01	-0.05	-1.00	-0.40	-1.41	0.54
0	7	8	0.00	-0.04	-1.00	0.10	-1.16	0.79
0	7	9	0.01	-0.04	-1.00	-0.15	-0.54	0.73
0	7	10	0.00	-0.06	-1.00	0.10	-3.10	-0.39
0	7	11	0.01	-0.06	-1.00	0.03	-4.29	-0.83
0	7	12	0.02	-0.16	-0.99	-0.34	-3.60	1.11
0	7	13	0.06	-0.41	-1.01	-1.40	3.09	3.04
0	7	14	0.09	-0.29	-1.00	-0.84	6.84	-1.14
0	7	15	0.06	-0.19	-1.00	-0.53	13.40	1.36
0	7	16	0.07	-0.21	-1.00	-0.15	5.21	-0.02
0	7	17	0.06	-0.17	-1.00	-3.28	7.40	-1.58
0	7	18	0.03	-0.22	-1.00	-3.72	24.03	2.23
